Drill ID,Development Block,Coaching Focus,Drill Name,Purpose,Duration Minutes,Recommended Players,Use Execution Details,Sets,Reps,Work Seconds,Rest Seconds,Equipment,Coaching Points,Progressions,Variations,Notes
27,Receiving & Passing,"Develops one-touch lay-offs, give-and-go timing, a",Diamond Combination & Wall Pass,"Player 1 plays a crisp pass to Player 2 at the right cone.

Player 2 checks to the ball and plays a one-touch cushion lay-off back to Player 1.

Player 2 immediately spins around their cone into space.

Player 1 plays a lead pass into space for 

Player 2 to run onto (wall pass / give-and-go).

Player 2 takes a touch and plays across to Player 3 at the top of the diamond.

The sequence repeats around the diamond in a continuous loop.
 Players follow their pass to the next position (1 -> 2->3->4->1).",0,4-8 per diamond,No,,,,,"4 disc cones, 1?2 soccer balls.",,,,"Setup: Place 4 cones in a diamond shape ($10\text{ to }12\text{ yards}$ apart on each side). Place at least one player at each cone, with extra players starting at Cone 1."
28,Receiving & Passing,"Builds bilateral foot skills, quick feet adjustmen","Dual-Line ""Inside-Outside"" Rhythm Passing","Player A plays a firm right-footed pass across to Player B.

Player B receives with the inside of the left foot, cushioned slightly across the body, and returns the pass with the inside of the right foot.

Player A repeats the exact sequence (receive left, pass right).

Run continuously for 60?90 seconds, then switch feet (receive right, pass left).

Progression (Outside-Inside): Receive with the outside of the right foot to push the ball laterally, then pass back with the inside of the same foot.",0,2-6,Yes,1,,900,180,"4 cones (to set lines), 1 soccer ball per pair.",,,,
25,Receiving & Passing,Forces players to take an intentional first touch ,Gate Passing & First-Touch Escape,,0,4-12,No,,,,,"8?12 cones (to set up small gates), 1 soccer ball per pair.",,,,"Create a 15 X 15 yard grid. Scatter 4 to 6 small cone ""gates"" (2 yards wide}
 randomly inside the grid. Pairs share one ball inside the area."
26,Receiving & Passing,Forces players to take an intentional first touch,Gate Passing & First-Touch Escape,"Partners move throughout the grid, passing the ball back and forth through any open gate.

Upon receiving, the player must take their first touch through the gate into space before playing a pass back to their partner or finding a new gate.

60-Second Challenge: Count how many successful gate-passes the pair can complete in one minute.

Variations:

Outside-Foot Touch: Receive strictly with the outside of the foot to slice around the cone.

Sole-Roll Touch: Drag the ball across the body using the sole of the foot through the gate, then pass with the opposite foot.",10,4-8,Yes,,,900,180,"8?12 cones (to set up small gates), 1 soccer ball per pair",,,,"Create a $15 \times 15\text{ yard}$ grid. Scatter 4 to 6 small cone ""gates"" ($2\text{ yards wide}$) randomly inside the grid. Pairs share one ball inside the area."
29,1v1,,1v1 Gate Dodge,"The attacker dribbles forward at full speed toward the defender.

The attacker executes a Coerver change-of-direction move (e.g., Inside Cut, Hook, Cruyff Turn, or Scissors) to commit the defender toward one gate before quickly cutting to break through the opposite gate.

The defender can move along their baseline to block the gates.

A point is scored if the attacker dribbles cleanly through either gate under control.",0,4-8,No,,,,,4 Cones (to mark grid boundary) | 4 Pylons/Discs (to form 2 scoring gates) | 1 Soccer ball per repetition,"Distance Management: Initiate the move roughly 2 to 3 yards away from the defender?far enough to avoid a leg tackle, but close enough to pull the defender off balance. | Sell the Feint: Use head, shoulder, and hip movement to sell the initial fake toward the decoy gate. | Explosion: The move opens the space, but the sudden acceleration after the footwork is what beats the defender.","Level 1 (Passive): Defender stays on the baseline and can only shuffle side-to-side. | Level 2 (Live Defense): As soon as the attacker takes their second touch, the defender can step out into the grid to tackle. | Level 3 (Time Pressure): The attacker must execute a move and score within 6 seconds.",,"Grid: 12 x 10 yards.

Gates: Place two 2-yard-wide cone gates along the defender's end line (one on the left, one on the right).

Positions: Attacker starts at the bottom line with the ball; defender starts centered on the opposite baseline between the two gates."
31,1v1,,Continuous Attacker-to-Defender Wave,,0,8-12 Min 4,Yes,,,600,90,4 Cones (grid boundary) | 2 Mini-goals (or 2-yard cone gates on each baseline) | A pile of soccer balls behind both baselines,"Body Shielding: Keep the body between the defender and the ball, using the foot furthest from pressure to carry the ball. | Low Center of Gravity: Bend the knees and drop the hips to absorb shoulder contact without losing balance. | Sharp Cutting Angle: Ensure the breakout touch goes directly toward the side gate ($90^\circ$) rather than at a soft diagonal path that allows the defender to recover.",Level 1 (Shadow Running): Defender runs alongside without physical contact to allow the attacker to master timing. | Level 2 (Full Contact): Defender applies full shoulder-to-shoulder pressure. | Level 3 (Recovery Pursuit): Defender starts 1?2 yards behind the attacker to simulate a recovery chase from behind.,,
48,1v1,,Matthews,"Touch Hop and  Go

When dribbling, touch the ball on the laces (inside) 
Immediately hope in the direction of the ball and touch the ball on the outside to have the ball go in the opposite direction
Go",0,,Yes,10,,,,Ball for each player | 4 cones to form a box approximately 5  X 5 yards,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",Dominant Foot | Nondominant Foot,,
30,1v1,Teaches players how to handle recovery pressure fr,Side-by-Side Shoulder Challenge,"On the coach's whistle, both players sprint down the middle of the channel.

The attacker must keep the ball under control while shielding against lateral body contact from the defender.

The attacker must perform a specific Coerver escaping move (e.g., Step-over Push or Ronaldo Chop) to break away laterally and dribble through either side exit gate.

If the defender dispossesses the attacker, they counter-dribble across the starting line.",0,6-10,Yes,2,,120,,6 Cones (to mark channel and exit gates) | 1 Soccer ball per pair,"Body Shielding: Keep your body between the defender and the ball, operating on the foot furthest away from pressure. | Low Center of Gravity: Bend the knees to absorb shoulder contact without being pushed off balance or off your line. | Sharp Angles: Cut sharply at a $90^\circ$ angle toward the exit gate rather than a soft diagonal path, forcing the defender to stop and turn entirely.",Level 1 (No Contact): Defender acts as a shadow runner alongside the attacker without physical contact. | Level 2 (Shoulder-to-Shoulder Contact): Defender applies physical pressure to test the attacker's strength and stability. | Level 3 (Delayed Start): Defender starts 1 yard behind the attacker to simulate a recovery chase.,,"Grid: 15 x 10 yard channel.

Gates: Place two exit gates on the side boundaries, roughly midway down the channel.

Positions: Attacker and defender line up shoulder-to-shoulder at the starting line, with the ball at the attacker's feet."
35,Speed,,1v1 Diamond Agility Escape,"The attacker must dribble and touch any two outer cones of the diamond in any order as fast as possible, using sharp Coerver moves (L-Cut, Behind-the-Leg Hook) at each cone.

The defender must shadow the attacker from inside the diamond, matching their lateral movements.

After touching two diamond cones, the attacker breaks out toward either Goal A or Goal B.

The defender goes live to tackle as soon as the attacker begins their breakout 
run.",0,4-8 - min 2,Yes,1,,900,60,4 Cones (set up in a diamond formation) | 2 Mini-goals on opposite sides outside the diamond | 1 Soccer ball per rep,"Quick Foot Turnover: Keep steps short, rapid, and nimble while moving around the diamond cones. | Deceptive Eyes/Body: Use head fakes away from the intended breakout goal before cutting back. | Explosion to Finish: The transition from the secondary cone touch to the shot must be a maximum-effort sprint step.","Level 1 (Predictable Route): Attacker must touch Left Cone then Right Cone before breakout. | Level 2 (Free Choice): Attacker can touch any two cones in any sequence, keeping the defender guessing. | Level 3 (5-Second Clock): Attacker has 5 seconds from their first touch to complete the cone touches and shoot.",,"Grid Size: $10 \times 10$ yard diamond inside a $15 \times 15$ yard outer 
square.

Positions: Attacker starts in the center of the diamond with the ball; Defender starts at the bottom cone of the diamond."
32,Speed,,1v1 Speed Gate Sprint,"On the coach's signal, the attacker drives forward at maximum speed through the Speed Gate.

The defender chases at full sprint from behind.

Right after passing the Speed Gate, the attacker must execute a fast Coerver move (e.g., Single Scissors & Push or Ronaldo Chop) to change line, shield, or explode into space before finishing into the mini-goal.

The defender attempts to catch up and make a clean tackle before the attacker shoots.

Players swap roles after each rep.",0,"6?10  (split evenly into two lines).

 Min 2",No,,,,,4 Cones (starting lines and end zone) | 2 Pylons/Discs (to set up a mid-grid speed gate) | 1 Mini-goal (or cone gate at the target line) | Multiple soccer balls,"Speed of Footwork: Do not slow down to perform the move; execute the footwork at top speed. | Longer Acceleration Touch: After completing the move, take a slightly larger ""knock"" touch into open space so you can sprint into your stride rather than taking short, crowded touches. | Drop the Shoulder: Lower the body?s center of gravity during the feint to explode laterally away from the chasing defender.","Level 1 (Head Start): Attacker starts 3 yards ahead of the defender to emphasize pure acceleration out of the move. | Level 2 (Even Start): Both start side-by-side; defender can make contact as soon as they reach the Speed Gate. | Level 3 (Reaction Start): Defender starts when the attacker takes their first touch, removing the whistle cue.",,"Grid Size: 20 yards long x 10 yards wide.

Speed Gate: Set up a 2-yard cone gate 8 yards ahead of the attacker?s start line.

Positions: Attacker lines up with the ball on the baseline; Defender lines up 3 yards behind or slightly to the side of the attacker to simulate a recovery sprint."
33,Speed,,Dynamic 1v1 Shuttle Reaction,"The attacker dribbles at top speed toward Cone A, performs a 180-degree Coerver turn (e.g., Cruyff Turn), and sprints back toward the starting line.

The attacker instantly turns again, sprints past Cone B using an Outside Cut, and turns to face the defender in a live 1v1.

The defender must match the attacker's shuttle movements on the opposite side of the grid before stepping in for the final 1v1 battle to score in the mini-goal.",0,4-8 per grid - min 2,No,,,,,6 Cones (to mark grid boundary and two shuttle points) | 1 Mini-goal | 1 Soccer ball per rep,Sharp Deceleration: Sink the hips and take smaller setup touches right before reaching the turn marker to stop momentum quickly. | Plant Foot Placement: Place the non-kicking foot firmly next to or slightly past the ball to anchor the turn. | Explosion off the Turn: The first step after the turn must be an explosive push into open space.,"Level 1 (Fixed Sequence): Pre-set turns (e.g., turn at Cone A with right foot, Cone B with left foot). | Level 2 (Coach Callout): Coach calls out which cone to turn at while players are sprinting, forcing visual and cognitive processing at high speed. | Level 3 (Time Attack): Complete the shuttle sequence and score in under 8 seconds total.",,"Grid Size: 15 yards long x 12 yards wide.

Shuttle Markers: Place Cone A at 5 yards and Cone B at 10 yards along the side boundary.

Positions: Attacker starts with the ball on the bottom baseline; Defender starts in the middle facing the attacker."
34,Speed,,High-Speed Transition Slalom 1v1,"The attacker navigates through the slalom as fast as possible using quick Coerver footwork (e.g., Inside/Outside weave or Roll-Taps).

As soon as the attacker clears the final cone, they play a long touch into space, sprint after it, and drive directly at the defender.

The defender sprints out to close down space as soon as the attacker touches the ball past the last slalom cone.

Attacker uses a high-speed feint (e.g., Double Scissors or Shimmy) to beat the closing defender and score.",0,6-10 min 2,Yes,1,,600,120,"8 Cones (4 for a slalom weave, 4 for the grid boundary) | 1 Mini-goal | Soccer balls stationed at the start line","Transition from Tight to Big Touches: Shift instantly from short, light touches through the slalom to an explosive, longer touch into space upon clearing the course. | Fix the Defender: Drive straight at the defender's feet to force them to halt their momentum before initiating the speed move. | Head Up: Look up immediately upon exiting the slalom course to assess the defender?s closing speed and angle.","Level 1 (Standard Entry): Attacker completes slalom with both feet before entering 1v1. | Level 2 (Weak Foot Only Slalom): Attacker must use non-dominant foot only through the slalom to build multi-directional speed with both feet. | Level 3 (Defender Head Start): Defender gets to step into the grid the moment the attacker reaches the third slalom cone, increasing time pressure on the attacker.",,"Grid Size: 18 yards long x 12 yards wide.

Slalom Course: Set 4 cones in a straight line, 1 yard apart, on the attacker's side.

Positions: Attacker starts at the base of the slalom with a ball; Defender starts 15 yards away on the opposite baseline."
37,Finishing,Develops tight control under back-to-goal pressure,180-Degree Cut & Snap Shot,"The server plays a firm pass into the attacker?s feet.

The attacker receives the ball while shielding against the defender?s back pressure.

The attacker uses a sharp 180-degree Coerver turn (e.g., Cruyff Turn or Inside Cut behind the standing leg) to spin around the defender.

Immediately upon turning past the defender, the attacker snaps a low shot into either corner of the goal.

If the defender intercepts or wins the ball, they pass back out to the server for a point.",0,6-8 + 1 GK  min 2 + 1 GK,No,,,,,1 Full-size goal | 4 Cones (to mark the 10 x 10 yard target box) | Multiple soccer balls,"Feel the Pressure: Use an arm to feel which side the defender is leaning toward, then turn into the space away from their body weight. | Low Center of Gravity: Drop your hips during the turn to maintain balance while being pushed from behind. | Keep Shots Low: Aim for the bottom corners; low shots off a sharp turn are hardest for goalkeepers to save.",Level 1 (Passive Defense): Defender provides shadow/body contact but cannot tackle until the attacker turns. | Level 2 (Live Defense): Defender can attempt to step around and intercept as soon as the server passes. | Level 3 (One-Touch Turn): Attacker must use a single touch to turn around the defender and shoot on the second touch.,,"Grid Size: 10 x 10 yard box, positioned 14?16 yards out from goal.

Positions: Attacker starts inside the box with their back to goal; Defender starts right behind the attacker applying light body pressure. A Server stands at the top of the grid with balls."
36,Finishing,Trains players to commit a defender in the final t,1v1 Feint & Strike (Face-to-Face Finishing),"The attacker enters the grid at speed, driving directly at the defender.

The attacker executes a Coerver move (e.g., Scissors or Matthaus) to drop a shoulder, unbalance the defender, and push the ball into a shooting lane (left or right).

The defender can move to block or tackle once the attacker enters the grid.

The attacker must take a shot on goal within 2 touches after completing the move.

Rotate roles after each rep.",0,6-10 min 2 players + 1 GK,No,,,,,1 Full-size goal (or 2 mini-goals) | 4 Cones (to mark grid boundary outside the penalty box) | Multiple soccer balls,Fix the Defender: Drive straight at the defender?s feet to force them to stop their feet before making your move. | Half-a-Yard Is Enough: You don't need to completely beat the defender; you only need enough space to get a clean strike off. | Quick Trigger: Reduce your backswing to strike the ball quickly before the defender can recover or block.,"Level 1 (Touch Limit): Maximum of 3 touches from entry to shot (1st touch drive, 2nd touch feint/push, 3rd touch strike). | Level 2 (Weak Foot Finish): The attacker must fake to their strong side and break out to strike with their non-dominant foot. | Level 3 (Time Pressure): 5-second shot clock from the moment the attacker steps into the grid.",,"Grid Size: 15 x 12 yards, positioned centrally at the top of the 18-yard box.

Positions: Defender starts on the penalty spot/edge of the box facing outwards; Attacker starts at the top of the grid facing the goal with the ball."
39,Finishing,"Combines first-time finishing, rapid transition, d",1v1 Rebound & Recover Wave,"Phase 1 (First-Time Shot): Coach rolls a ball to Attacker A1, who strikes first-time from distance.

Phase 2 (1v1 Live): Immediately after A1 shoots, the coach plays a second ball into Defender D1.

Defender D1 becomes the attacker and drives out at Attacker A1 (who instantly transitions into a defender).

D1 uses a high-speed Coerver move (Scissors, Double Step-over) to beat A1 and shoot on the main goal (or score in a mini-goal if A1 wins the ball).

Swap lines after the 1v1 ends.",0,6-10 (2 teams) + GK,Yes,1,,1200,180,1 Goal | 4 Cones (starting points) | 1 Mini-goal (for defender counter-attack) | Pile of balls near the coach/server line,Instant Mindset Switch: A1 must transition immediately from shooting to defensive recovery the split-second their first shot is taken. | Attack the Closing Space: D1 should drive fast at A1 while A1 is recovering to catch them on their heels. | Follow Shots: Always follow through toward the net after taking a strike to capitalize on goalkeeper rebounds.,"Level 1 (Rebound Hunt): If A1's first shot hits the post or is saved, A1 can follow up for a rebound before Phase 2 begins. | Level 2 (Must Use Move): D1 must execute a specific pre-selected move before taking their shot in Phase 2. | Level 3 (Time Attack): D1 has only 6 seconds to execute their move and finish once receiving the ball.",,"Grid Size: 20 x 15 yards in front of the penalty box.

Positions: Attacker A1 starts 20 yards out; Defender D1 starts on the end line next to the main goal. Coach/Server stands on the sideline with balls."
38,Finishing,Trains fast wide dribbling using Coerver escaping ,Wing Breakout 1v1 Cross & Finish,"The winger drives down the wide channel at top speed with the wide defender chasing.

The winger executes a Coerver move (e.g., Step-over Push or Ronaldo Chop) to create separation from the defender and swing a cross into the box.

Simultaneously, the central striker makes a sharp run (near post or far post) against the central defender to meet the cross and finish on goal.

Point scored if the cross leads to a goal; point for defenders if they clear the ball outside the 18-yard box.",0,8-12 +1 GK,Yes,1,,1200,180,1 Full-size goal | 6 Cones (to outline the wide channel and central penalty box area) | Soccer balls stationed at the wide starting line,"Separation before Delivery: The winger?s move must create enough space so the cross isn't blocked by the recovery defender. | Time the Box Run: Strikers should hold their run slightly until the winger shapes up to cross, then attack the ball with speed. | Body Shape for Strike: Strikers must open their hips toward the incoming cross to direct the finish on target.","Level 1 (Uncontested Cross): Wide defender shadows without tackling to guarantee cross quality. | Level 2 (Cut-Back Finish): Winger must use an Inside Hook at the end line to cut back and play a ground pass to the edge of the box. | Level 3 (2v2 Live): Once the cross is delivered, the winger can join the attack to make it a 2v2 inside the penalty box.",,"Grid Size: Wide channel (15 x 8 yards) near the sideline + central penalty area.

Positions: Winger starts with ball in the wide channel; Wide Defender starts 2 yards behind Winger. Striker and Central Defender start at the top of the 18-yard box."
40,Group Play,Trains players to use individual 1v1 Coerver moves,2v1 Overload Breakout (Coerver Combination Grid),"Attacker 1 starts with the ball and dribbles forward aggressively to engage the Defender.

Attacker 1 executes a Coerver move (e.g., Scissors or Inside Cut) to commit the Defender's feet.

As the Defender steps, Attacker 1 decides whether to:

	Beat the defender solo if the defender drops off.
	Execute a Give-and-Go (Wall Pass) with Attacker 2.
	Overlap / Overload to create a free path to score in Goal A or Goal B.

If the Defender wins the ball, they score by passing across the Attackers' starting baseline.

Rotate roles continuously after each rep.",0,"6-9 (split into 2 attack lines, 1 defender line)",Yes,1,,1800,180,4 Cones (to mark grid boundary) | 2 Mini-goals (or cone gates on the end line) | Multiple soccer balls,"Fix the Defender: The ball carrier must commit the defender with a direct dribble/feint before making the pass; passing too early allows the defender to intercept easily. | Timing of the Support Run: Attacker 2 must time their supporting run so they arrive in open space at top speed just as the pass is played. | Disguise: Use body shape or a eyes fake to make the defender think you are going to dribble, creating an open passing lane.","Level 1 (Passive Defender): Defender cannot step across the halfway line. | Level 2 (Two-Touch Max for Wall Passer): Attacker 2 can only play one or two touches, forcing quick support movement. | Level 3 (Time Clock): Attackers must score within 7 seconds of entering the grid to force fast, direct combinations.",,"Grid Size: 15 yards long $\times$ 12 yards wide.

Positions: Two Attackers start on the bottom baseline; One Defender starts on the top baseline between the two mini-goals."
41,Group Play,Develops fast decision-making in multi-player coun,3v2 Transition Carousel,"Team A enters the grid in a 3v2 attack against Team B's two active defenders.

Team A uses Coerver group tactics?such as a central player using a Shimmy to hold the ball before slipping a pass to an overlapping winger?to score on goal.

Once the rep ends (goal, save, or out of bounds):

	The Team A attacker who took the shot/lost the ball immediately exits the pitch.
	The remaining 2 Team A players instantly become Defenders.
	Team C sends 3 new Attackers into the grid from the opposite end to attack Team A in a fresh 3v2.",0,9-12 (divided into 3 teams of 3),Yes,1,,1800,180,1 Full-size goal (or 2 mini-goals at opposite ends) | 6 Cones (grid outlines and starting markers) | Multiple soccer balls,"Create Width & Depth: The two non-ball-carrying attackers must stretch the two defenders by staying wide, leaving the middle open for a 1v1 move or drive. | Drive at the Free Defender: The central player should dribble directly at one of the two defenders to isolate them into a 2v1 situation on the wing. | Immediate Transition: The moment possession changes, players must switch mental gears instantly from attack to defense.","Level 1 (Must Use a Combination): A goal only counts if a wall pass, overlap, or takeover was executed during the build-up. | Level 2 (Trailing Defender): The 3rd defender for the defending team is allowed to sprint back into the play 3 seconds after the whistle, turning the 3v2 into a fast-recovering 3v3.",,"Grid Size: 25 yards long $\times$ 20 yards wide (final third area).

Positions: Team A (3 Attackers) starts at midfield; Team B (2 Defenders) sets up inside the grid; 3rd Defender from Team B waits off the field; Team C waits off the sideline."
